🌙扉页,#genre#
CHC家庭影院,http://150.138.8.143/00/SNM/CHANNEL00002028/index.m3u8
CHC高清电影,http://150.138.8.143/00/SNM/CHANNEL00002029/index.m3u8
CHC动作电影,http://150.138.8.143/00/SNM/CHANNEL00002030/index.m3u8




山东教育卫视,http://150.138.8.143/00/SNM/CHANNEL00000331/index.m3u8
CETV-1,http://150.138.8.143/00/SNM/CHANNEL00000076/index.m3u8
CETV-2,http://150.138.8.143/00/SNM/CHANNEL00000077/index.m3u8

CETV-4,http://150.138.8.143/00/SNM/CHANNEL00000666/index.m3u8
CETV-4,http://150.138.8.132/00/SNM/CHANNEL00000666/index.m3u8
CETV4,http://150.138.8.143/00/SNM/CHANNEL00000070/index.m3u8



书画频道,http://150.138.8.132/00/SNM/CHANNEL00000651/index.m3u8
书画频道,http://211.103.180.178:8234/live_hls/hdmi.m3u8

中国交通,http://150.138.8.143/00/SNM/CHANNEL00000073/index.m3u8
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
魅力足球,http://150.138.8.143/00/SNM/CHANNEL00002021/index.m3u8
纪实人文,http://150.138.8.143/00/SNM/CHANNEL00000333/index.m3u8
金鹰纪实，http://150.138.8.143/00/SNM/CHANNEL00000334/index.m3u8 
财富天下,http://150.138.8.143/00/SNM/CHANNEL00000607/index.m3u8
都市剧场,http://150.138.8.143/00/SNM/CHANNEL00000630/index.m3u8
四海钓鱼,http://150.138.8.143/00/SNM/CHANNEL00000640/index.m3u8 
优优宝贝,http://150.138.8.143/00/SNM/CHANNEL00000641/index.m3u8 
中华特产,http://150.138.8.143/00/SNM/CHANNEL00000642/index.m3u8
环球旅游,http://150.138.8.143/00/SNM/CHANNEL00000643/index.m3u8
生态环境,http://150.138.8.143/00/SNM/CHANNEL00000644/index.m3u8
车迷频道,http://150.138.8.143/00/SNM/CHANNEL00000645/index.m3u8
快乐垂钓,http://150.138.8.143/00/SNM/CHANNEL00000648/index.m3u8
茶频道,http://150.138.8.143/00/SNM/CHANNEL00000649/index.m3u8
先锋乒羽,http://150.138.8.143/00/SNM/CHANNEL00000650/index.m3u8
书画,http://150.138.8.143/00/SNM/CHANNEL00000651/index.m3u8
靓妆,http://150.138.8.143/00/SNM/CHANNEL00000653/index.m3u8
家庭理财,http://150.138.8.143/00/SNM/CHANNEL00000654/index.m3u8
梨园频道,http://150.138.8.143/00/SNM/CHANNEL00000656/index.m3u8
武术世界,http://150.138.8.143/00/SNM/CHANNEL00000657/index.m3u8
文物宝库,http://150.138.8.143/00/SNM/CHANNEL00000658/index.m3u8
新动漫,http://150.138.8.143/00/SNM/CHANNEL00000659/index.m3u8
山东文旅,,http://150.138.8.143/00/SNM/CHANNEL00000660/index.m3u8
卡酷少儿,http://150.138.8.143/00/SNM/CHANNEL00000661/index.m3u8
海洋频道,http://150.138.8.143/00/SNM/CHANNEL00000662/index.m3u8
精品回展,http://150.138.8.143/00/SNM/CHANNEL00000664/index.m3u8
风尚购物,http://150.138.8.143/00/SNM/CHANNEL00000665/index.m3u8
CETV4,http://150.138.8.143/00/SNM/CHANNEL00000666/index.m3u8
动漫秀场,http://150.138.8.143/00/SNM/CHANNEL00002000/index.m3u8
法治天地,http://150.138.8.143/00/SNM/CHANNEL00002010/index.m3u8 
精彩影视，http://150.138.8.143/00/SNM/CHANNEL00002012/index.m3u8 
乐游,http://150.138.8.143/00/SNM/CHANNEL00002016/index.m3u8
金色学堂,http://150.138.8.143/00/SNM/CHANNEL00002018/index.m3u8 
生活时尚,http://150.138.8.143/00/SNM/CHANNEL00002019/index.m3u8 
魅力足球,http://150.138.8.143/00/SNM/CHANNEL00002021/index.m3u8
都市剧场,http://150.138.8.143/00/SNM/CHANNEL00002022/index.m3u8
游戏风云,http://150.138.8.143/00/SNM/CHANNEL00002024/index.m3u8
东方财经,http://150.138.8.143/00/SNM/CHANNEL00002025/index.m3u8
金鹰卡通,http://150.138.8.143/00/SNM/CHANNEL00002027/index.m3u8

版权无信号,http://150.138.8.143/00/SNM/CHANNEL00004004/index.m3u8
广西广播,http://150.138.8.143/00/SNM/CHANNEL00004008/index.m3u8

CGTN,http://150.138.8.143/00/SNM/CHANNEL00000352/index.m3u8
CGTN纪录,http://150.138.8.143/00/SNM/CHANNEL00000353/index.m3u8
CGTN俄语,http://150.138.8.143/00/SNM/CHANNEL00000357/index.m3u8
CGTN法语,http://150.138.8.143/00/SNM/CHANNEL00000355/index.m3u8
CGTN阿拉伯语,http://150.138.8.143/00/SNM/CHANNEL00000356/index.m3u8
CGTN西班牙语,http://150.138.8.143/00/SNM/CHANNEL00000354/index.m3u8
CCTV4中文国际欧洲,http://150.138.8.143/00/SNM/CHANNEL00000350/index.m3u8
CCTV4中文国际美洲,http://150.138.8.143/00/SNM/CHANNEL00000351/index.m3u8
CGTN阿拉伯语,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8



移动传媒,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/649e19038fa74514ab3f00febbcd6de0/1200.m3u8


🎈卫视HD,#genre#

山东卫视,http://150.138.8.132/00/SNM/CHANNEL10000301/index.m3u8
山东卫视,http://150.138.8.143/00/SNM/CHANNEL00000301/index.m3u8
北京卫视,http://150.138.8.143/00/SNM/CHANNEL00000302/index.m3u8
北京纪实科教,http://150.138.8.143/00/SNM/CHANNEL00000332/index.m3u8
浙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000305/index.m3u8
湖南卫视,http://150.138.8.143/00/SNM/CHANNEL00000324/index.m3u8
江苏卫视,http://150.138.8.143/00/SNM/CHANNEL00000304/index.m3u8
江苏卫视,http://120.194.237.190:808/hls/46/index.m3u8
安徽卫视,http://150.138.8.143/00/SNM/CHANNEL00000328/index.m3u8
东方卫视,http://150.138.8.143/00/SNM/CHANNEL00000309/index.m3u8
天津卫视,http://150.138.8.143/00/SNM/CHANNEL00000327/index.m3u8
辽宁卫视,http://150.138.8.143/00/SNM/CHANNEL00000326/index.m3u8
黑龙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000306/index.m3u8
广东卫视,http://150.138.8.143/00/SNM/CHANNEL00000307/index.m3u8
深圳卫视,http://150.138.8.143/00/SNM/CHANNEL00000308/index.m3u8
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000341/index.m3u8
广西卫视,http://150.138.8.143/00/SNM/CHANNEL00000368/index.m3u8
东南卫视,http://150.138.8.143/00/SNM/CHANNEL00000310/index.m3u8
厦门卫视,http://150.138.8.143/00/SNM/CHANNEL00000075/index.m3u8
云南卫视,http://150.138.8.143/00/SNM/CHANNEL00000367/index.m3u8
河北卫视,http://150.138.8.143/00/SNM/CHANNEL00000330/index.m3u8
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000358/index.m3u8
湖北卫视,http://150.138.8.143/00/SNM/CHANNEL00000325/index.m3u8
吉林卫视,http://150.138.8.143/00/SNM/CHANNEL00000363/index.m3u8
山西卫视标清,http://150.138.8.143/00/SNM/CHANNEL00000032/index.m3u8
陕西卫视标清,http://150.138.8.143/00/SNM/CHANNEL00000029/index.m3u8
四川卫视,http://150.138.8.143/00/SNM/CHANNEL00000348/index.m3u8
贵州卫视,http://150.138.8.143/00/SNM/CHANNEL00000329/index.m3u8
江西卫视,http://150.138.8.143/00/SNM/CHANNEL00000335/index.m3u8
江西卫视,http://150.138.8.143/00/SNM/CHANNEL00000035/index.m3u8
海南卫视,http://150.138.8.143/00/SNM/CHANNEL00000347/index.m3u8
甘肃卫视,http://150.138.8.143/00/SNM/CHANNEL00000349/index.m3u8
宁夏卫视标清,http://150.138.8.143/00/SNM/CHANNEL00000043/index.m3u8
内蒙古卫视标清,http://150.138.8.143/00/SNM/CHANNEL00000040/index.m3u8
青海卫视,http://150.138.8.143/00/SNM/CHANNEL00000366/index.m3u8
西藏卫视,http://150.138.8.143/00/SNM/CHANNEL00000045/index.m3u8
新疆卫视,http://150.138.8.143/00/SNM/CHANNEL00000044/index.m3u8
兵团卫视,http://150.138.8.143/00/SNM/CHANNEL00000071/index.m3u8
兵团四师可克达拉综合,http://test5.btzx.com.cn/live/kkdl.stream/playlist.m3u8?zxinjd 
兵团八师石河子新闻综合,http://124.88.144.73:1935/live/xwzh/playlist.m3u8?zxinjd
兵团十三师新星综合,http://test5.btzx.com.cn/live/13TV.stream/playlist.m3u8
兵团十四师昆玉综合,http://test5.btzx.com.cn/live/14TV.stream/playlist.m3u8
大湾区卫视,http://150.138.8.143/00/SNM/CHANNEL00000670/index.m3u8
农林卫视,http://150.138.8.143/00/SNM/CHANNEL00000072/index.m3u8
三沙卫视,http://150.138.8.143/00/SNM/CHANNEL00000078/index.m3u8
延边卫视,http://150.138.8.143/00/SNM/CHANNEL00000668/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8

延边-2,http://live.ybtvyun.com/video/s10006-04819ee234a7/index.m3u8?zjild

🎈山东地方,#genre#

胶州新闻,http://150.138.8.143/00/SNM/CHANNEL00001074/index.m3u8

山东文旅,http://150.138.8.143/00/SNM/CHANNEL00000337/index.m3u8
山东生活,http://150.138.8.143/00/SNM/CHANNEL00000336/index.m3u8
山东综艺,http://150.138.8.143/00/SNM/CHANNEL00000338/index.m3u8
山东体育,http://150.138.8.143/00/SNM/CHANNEL00000315/index.m3u8
山东体育,http://150.138.8.143/00/SNM/CHANNEL00000364/index.m3u8
山东体育,http://150.138.8.132/00/SNM/CHANNEL00000364/index.m3u8
山东新闻,http://150.138.8.143/00/SNM/CHANNEL00000314/index.m3u8
山东齐鲁,http://150.138.8.132/00/SNM/CHANNEL10000313/index.m3u8
山东齐鲁,http://150.138.8.132:80/00/SNM/CHANNEL00000052/index.m3u8
山东齐鲁,http://150.138.8.143/00/SNM/CHANNEL00000052/index.m3u8

山东农科,http://150.138.8.143/00/SNM/CHANNEL00000339/index.m3u8
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000340/index.m3u8
山东教育卫视,http://150.138.8.143/00/SNM/CHANNEL00000331/index.m3u8
山东教育卫视,http://150.138.8.143:80/00/SNM/CHANNEL10000062/index.m3u8 

纪实人文,http://150.138.8.143/00/SNM/CHANNEL00000333/index.m3u8
金鹰纪实,http://150.138.8.143/00/SNM/CHANNEL00000334/index.m3u8
山东体育,http://150.138.8.143/00/SNM/CHANNEL00000364/index.m3u8
QTV-1,http://150.138.8.143/00/SNM/CHANNEL00000500/index.m3u8
QTV-2,http://150.138.8.143/00/SNM/CHANNEL00000501/index.m3u8
QTV-3,http://150.138.8.143/00/SNM/CHANNEL00000502/index.m3u8
QTV-4,http://150.138.8.143/00/SNM/CHANNEL00000503/index.m3u8
QTV-5,http://150.138.8.143/00/SNM/CHANNEL00000504/index.m3u8
QTV-6,http://150.138.8.143/00/SNM/CHANNEL00000505/index.m3u8

QTV-1,http://122.4.104.37:80/2/00/CHANNEL00000500/3090800/1.m3u8
QTV-2,http://122.4.104.37:80/2/00/CHANNEL00000501/3090800/1.m3u8
QTV-3,http://122.4.104.37:80/2/00/CHANNEL00000502/3090800/1.m3u8
QTV-4,http://122.4.104.111:80/2/00/CHANNEL00000503/2540800/1.m3u8
QTV-5,http://122.4.104.111:80/2/00/CHANNEL00000504/2540800/1.m3u8
QTV-6,http://122.4.104.111:80/2/00/CHANNEL00000505/2540800/1.m3u8


胶州综合,http://150.138.8.143/00/SNM/CHANNEL00001074/index.m3u8
胶州生活,http://117.72.68.25:9930/qilu.php?id=qdjzsh
黄岛新闻,http://150.138.8.143/00/SNM/CHANNEL00001086/index.m3u8
黄岛生活,http://150.138.8.143/00/SNM/CHANNEL00001087/index.m3u8
崂山综合,http://150.138.8.143/00/SNM/CHANNEL00001075/index.m3u8
LSTV崂山,http://150.138.8.143/00/SNM/CHANNEL00001022/index.m3u8
莱西综合,http://150.138.8.143/00/SNM/CHANNEL00001067/index.m3u8
平度新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001054/index.m3u8
诸城综合,http://150.138.8.143/00/SNM/CHANNEL00001004/index.m3u8
高密综合,http://150.138.8.143/00/SNM/CHANNEL00001089/index.m3u8
潍坊新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000215/index.m3u8
潍坊经济生活,http://150.138.8.143/00/SNM/CHANNEL00000216/index.m3u8
潍坊影视综艺,http://150.138.8.143/00/SNM/CHANNEL00000217/index.m3u8
潍坊科教文旅,http://150.138.8.143/00/SNM/CHANNEL00000218/index.m3u8
潍坊高新区,http://150.138.8.143/00/SNM/CHANNEL00001106/index.m3u8

济南都市,http://150.138.8.143/00/SNM/CHANNEL00000062/index.m3u8
济南新闻,http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
济南生活,http://150.138.8.143/00/SNM/CHANNEL00000063/index.m3u8
济南文旅体育,http://150.138.8.143/00/SNM/CHANNEL00000064/index.m3u8
济南娱乐,http://150.138.8.143/00/SNM/CHANNEL00000065/index.m3u8
济南商务http://150.138.8.143/00/SNM/CHANNEL00000066/index.m3u8
济南少儿,http://150.138.8.143/00/SNM/CHANNEL00000067/index.m3u8
济南教育,http://150.138.8.143/00/SNM/CHANNEL00000069/index.m3u8 
寿光TV综合,http://150.138.8.143/00/SNM/CHANNEL00001000/index.m3u8
东平综合,http://150.138.8.143/00/SNM/CHANNEL00001001/index.m3u8
沂源综合,http://150.138.8.143/00/SNM/CHANNEL00001002/index.m3u8
宁津综合,http://150.138.8.143/00/SNM/CHANNEL00001003/index.m3u8
诸城综合,http://150.138.8.143/00/SNM/CHANNEL00001004/index.m3u8
淄川新闻,http://150.138.8.143/00/SNM/CHANNEL00001007/index.m3u8
商河综合,http://150.138.8.143/00/SNM/CHANNEL00001008/index.m3u8
淄博综合频道,http://150.138.8.143/00/SNM/CHANNEL00001009/index.m3u8
莒南综合,http://150.138.8.143/00/SNM/CHANNEL00001011/index.m3u8
张店,http://150.138.8.143/00/SNM/CHANNEL00001012/index.m3u8
岱岳,http://150.138.8.143/00/SNM/CHANNEL00001013/index.m3u8
莒县TV综合,http://150.138.8.143/00/SNM/CHANNEL00001014/index.m3u8
安丘综合,http://150.138.8.143/00/SNM/CHANNEL00001015/index.m3u8
嘉祥综合,http://150.138.8.143/00/SNM/CHANNEL00001016/index.m3u8
长清综合,http://150.138.8.143/00/SNM/CHANNEL00001018/index.m3u8
桓台综合,http://150.138.8.143/00/SNM/CHANNEL00001020/index.m3u8
崂山TV,http://150.138.8.143/00/SNM/CHANNEL00001022/index.m3u8
高青综合,http://150.138.8.143/00/SNM/CHANNEL00001023/index.m3u8
无棣综合,http://150.138.8.143/00/SNM/CHANNEL00001024/index.m3u8
新泰综合频道,http://150.138.8.143/00/SNM/CHANNEL00001029/index.m3u8
济阳综合,http://150.138.8.143/00/SNM/CHANNEL00001030/index.m3u8
蒙阴综合,http://150.138.8.143/00/SNM/CHANNEL00001031/index.m3u8
兰陵综合,http://150.138.8.143/00/SNM/CHANNEL00001032/index.m3u8
昌乐综合,http://150.138.8.143/00/SNM/CHANNEL00001033/index.m3u8
沾化综合,http://150.138.8.143/00/SNM/CHANNEL00001035/index.m3u8
阳信新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001036/index.m3u8
淄博影视,http://150.138.8.143/00/SNM/CHANNEL00001037/index.m3u8
邹城综合,http://150.138.8.143/00/SNM/CHANNEL00001038/index.m3u8
冠县综合频道,http://150.138.8.143/00/SNM/CHANNEL00001040/index.m3u8
郓城综合,http://150.138.8.143/00/SNM/CHANNEL00001041/index.m3u8
寿光综合,http://150.138.8.143/00/SNM/CHANNEL00001042/index.m3u8
广饶综合,http://150.138.8.143/00/SNM/CHANNEL00001043/index.m3u8
岚山,http://150.138.8.143/00/SNM/CHANNEL00001044/index.m3u8
寿光TV蔬菜,http://150.138.8.143/00/SNM/CHANNEL00001045/index.m3u8
巨野TV新闻,http://150.138.8.143/00/SNM/CHANNEL00001046/index.m3u8
莘县综合,http://150.138.8.143/00/SNM/CHANNEL00001047/index.m3u8
茌平TV综合,http://150.138.8.143/00/SNM/CHANNEL00001048/index.m3u8
乳山综合,http://150.138.8.143/00/SNM/CHANNEL00001049/index.m3u8
平阴综合,http://150.138.8.143/00/SNM/CHANNEL00001050/index.m3u8
兖州新闻,http://150.138.8.143/00/SNM/CHANNEL00001051/index.m3u8
曲阜综合,http://150.138.8.143/00/SNM/CHANNEL00001052/index.m3u8
荣城综合,http://150.138.8.143/00/SNM/CHANNEL00001053/index.m3u8
平度新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001054/index.m3u8
栖霞综合,http://150.138.8.143/00/SNM/CHANNEL00001055/index.m3u8
齐河综合,http://150.138.8.143/00/SNM/CHANNEL00001056/index.m3u8
文化旅游,http://150.138.8.143/00/SNM/CHANNEL00001057/index.m3u8
邹平综合频道,http://150.138.8.143/00/SNM/CHANNEL00001058/index.m3u8
武城综合频道,http://150.138.8.143/00/SNM/CHANNEL00001059/index.m3u8
武城综艺影视,http://150.138.8.143/00/SNM/CHANNEL00001060/index.m3u8
禹城综合,http://150.138.8.143/00/SNM/CHANNEL00001061/index.m3u8
禹城综艺,http://150.138.8.143/00/SNM/CHANNEL00001062/index.m3u8
定陶TV-1,http://150.138.8.143/00/SNM/CHANNEL00001063/index.m3u8
平原综合,http://150.138.8.143/00/SNM/CHANNEL00001064/index.m3u8
东明TV-1,http://150.138.8.143/00/SNM/CHANNEL00001065/index.m3u8
新泰乡村,http://150.138.8.143/00/SNM/CHANNEL00001066/index.m3u8
莱西综合,http://150.138.8.143/00/SNM/CHANNEL00001067/index.m3u8
新密综合,http://150.138.8.143/00/SNM/CHANNEL00001068/index.m3u8
夏津综合,http://150.138.8.143/00/SNM/CHANNEL00001069/index.m3u8
夏津公共,http://150.138.8.143/00/SNM/CHANNEL00001070/index.m3u8
宁阳综合频道,http://150.138.8.143/00/SNM/CHANNEL00001071/index.m3u8
宁阳-2,http://150.138.8.143/00/SNM/CHANNEL00001072/index.m3u8
胶州综合,http://150.138.8.143/00/SNM/CHANNEL00001074/index.m3u8
崂山综合,http://150.138.8.143/00/SNM/CHANNEL00001075/index.m3u8
牟平综合,http://150.138.8.143/00/SNM/CHANNEL00001076/index.m3u8
牟平生活,http://150.138.8.143/00/SNM/CHANNEL00001077/index.m3u8
单县综合,http://150.138.8.143/00/SNM/CHANNEL00001079/index.m3u8
陵城综合,http://150.138.8.143/00/SNM/CHANNEL00001082/index.m3u8
昌邑综合,http://150.138.8.143/00/SNM/CHANNEL00001083/index.m3u8
鄄城综合,http://150.138.8.143/00/SNM/CHANNEL00001084/index.m3u8
临朐综合频道,http://150.138.8.143/00/SNM/CHANNEL00001085/index.m3u8
黄岛综合,http://150.138.8.143/00/SNM/CHANNEL00001086/index.m3u8
黄岛生活,http://150.138.8.143/00/SNM/CHANNEL00001087/index.m3u8
蓬莱综合,http://150.138.8.143/00/SNM/CHANNEL00001088/index.m3u8
高密综合,http://150.138.8.143/00/SNM/CHANNEL00001089/index.m3u8
长岛综合,http://150.138.8.143/00/SNM/CHANNEL00001090/index.m3u8
海阳综合,http://150.138.8.143/00/SNM/CHANNEL00001091/index.m3u8
海阳综艺,http://150.138.8.143/00/SNM/CHANNEL00001092/index.m3u8
综合频道,http://150.138.8.143/00/SNM/CHANNEL00001093/index.m3u8
兰陵公共,http://150.138.8.143/00/SNM/CHANNEL00001095/index.m3u8
沂水综合,http://150.138.8.143/00/SNM/CHANNEL00001098/index.m3u8
沂水生活,http://150.138.8.143/00/SNM/CHANNEL00001099/index.m3u8
德州新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000206/index.m3u8
德州经济生活,http://150.138.8.143/00/SNM/CHANNEL00000207/index.m3u8
潍坊新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000215/index.m3u8
潍坊经济生活,http://150.138.8.143/00/SNM/CHANNEL00000216/index.m3u8
潍坊影视综艺,http://150.138.8.143/00/SNM/CHANNEL00000217/index.m3u8
潍坊科教文旅,http://150.138.8.143/00/SNM/CHANNEL00000218/index.m3u8
滨州新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000220/index.m3u8
滨州民生,http://150.138.8.143/00/SNM/CHANNEL00000221/index.m3u8
东营新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000226/index.m3u8
东营公共,http://150.138.8.143/00/SNM/CHANNEL00000227/index.m3u8
菏泽-1,http://150.138.8.143/00/SNM/CHANNEL00000232/index.m3u8
菏泽-2,http://150.138.8.143/00/SNM/CHANNEL00000234/index.m3u8
济宁生活,http://150.138.8.143/00/SNM/CHANNEL00000239/index.m3u8
济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000240/index.m3u8
济宁公共,http://150.138.8.143/00/SNM/CHANNEL00000241/index.m3u8
聊城综合,http://150.138.8.143/00/SNM/CHANNEL00000250/index.m3u8
聊城民生,http://150.138.8.143/00/SNM/CHANNEL00000251/index.m3u8
五莲新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000262/index.m3u8
五莲科教,http://150.138.8.143/00/SNM/CHANNEL00000263/index.m3u8
烟台新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000280/index.m3u8
烟台公共,http://150.138.8.143/00/SNM/CHANNEL00000281/index.m3u8
烟台经济科技,http://150.138.8.143/00/SNM/CHANNEL00000282/index.m3u8
烟台影视,http://150.138.8.143/00/SNM/CHANNEL00000283/index.m3u8
淄博新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000292/index.m3u8
淄博文旅,http://150.138.8.143/00/SNM/CHANNEL00000293/index.m3u8
淄博民生,http://150.138.8.143/00/SNM/CHANNEL00000294/index.m3u8
济南新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
济南鲁中,http://150.138.8.143/00/SNM/CHANNEL00000244/index.m3u8
济宁高新,http://150.138.8.143/00/SNM/CHANNEL00001101/index.m3u8
临清综合,http://150.138.8.143/00/SNM/CHANNEL00001103/index.m3u8
临邑TV-1,http://150.138.8.143/00/SNM/CHANNEL00001104/index.m3u8
历城综合,http://150.138.8.143/00/SNM/CHANNEL00001105/index.m3u8
鱼台综合,http://150.138.8.143/00/SNM/CHANNEL00001107/index.m3u8
鱼台生活,http://150.138.8.143/00/SNM/CHANNEL00001108/index.m3u8
河东综合,http://150.138.8.143/00/SNM/CHANNEL00001109/index.m3u8
任城-1,http://150.138.8.143/00/SNM/CHANNEL00001111/index.m3u8
任城-2,http://150.138.8.143/00/SNM/CHANNEL00001112/index.m3u8
招远-综合,http://150.138.8.143/00/SNM/CHANNEL00001113/index.m3u8

青岛新闻广播,http://hlspull.qtv.com.cn/gwepn2sr/channel/7db3153ab20aad73e3bab1e46bf79926/index.m3u8
青岛经济广播,http://hlspull.qtv.com.cn/gwepn2sr/channel/68ab5bd0460e095fe21a3df165b0ea00/index.m3u8
青岛文艺广播,http://hlspull.qtv.com.cn/gwepn2sr/channel/4979ca520e89c36e8d6aa0d0a043e185/index.m3u8
青岛交通广播,http://hlspull.qtv.com.cn/gwepn2sr/channel/d06210a9a067aba9de0add8c51e13aad/index.m3u8
青岛音体广播,http://hlspull.qtv.com.cn/gwepn2sr/channel/2b2d8edc7696d389074c963d0171f34c/index.m3u8
青岛故事广播,http://hlspull.qtv.com.cn/gwepn2sr/channel/b6a6a8083138c43e71b068cf2eb2bb84/index.m3u8
胶州综合,http://alivealone.litenews.cn/305/c663c037b5c345cdbe92a1e77e4c8710.flv
胶州生活,rtmp://alivealone.litenews.cn/305/6b3c364e18a348ed865f67eaf2cdb724.flv
青岛李沧,http://alivealone.litenews.cn/173/bc8dac70dcc54987a3abd07313420e4b.flv
青岛李沧,rtmp://alivealone.litenews.cn/173/bc8dac70dcc54987a3abd07313420e4b
黄岛综合,http://alivealone.litenews.cn/227/679fcc2c9e6040e9bf2e9b8f0b5d6e91.flv
即墨电视台,http://alivealone.litenews.cn/221/34e5175319f14defa189f4c61a163025.flv
青岛崂山,rtmp://alivealone.litenews.cn/295/a54b85aff0ef4d45bf606ef3c7884d3d
莱西综合,rtmp://alivealone.litenews.cn/253/2829e3f24b8a4705aaf48c9826e300b1
莱西生活,rtmp://alivealone.litenews.cn/253/102010c7bdfb471ab50fdb56f6d3fb60
青岛平度1,rtmp://alivealone.litenews.cn/45/807338f470e6432f9595791c50ec290b
青岛平度2,rtmp://alivealone.litenews.cn/45/1ec11ad4f7e544bbbbaa4cef58eb6c0d


🌻联通少儿HD,#genre#
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000340/index.m3u8
优优宝贝,http://150.138.8.143/00/SNM/CHANNEL00000641/index.m3u8
少儿动画,http://150.138.8.143/00/SNM/CHANNEL00000605/index.m3u8
哈哈炫动,http://150.138.8.143/00/SNM/CHANNEL00000050/index.m3u8
优漫卡通,http://150.138.8.143/00/SNM/CHANNEL00000049/index.m3u8
卡酷动画,http://150.138.8.143/00/SNM/CHANNEL00000048/index.m3u8
